Title,Runtime,Genre,Oscars,Award Wins,Award Nominations,Box Office
Parasite,132,"Drama, Thriller",4,316,266,53369749
Green Book,130,"Biography, Comedy, Drama",3,58,123,85080171
The Shape of Water,123,"Drama, Fantasy, Romance",4,138,350,63859435
Moonlight,111,Drama,3,235,310,27854932
Spotlight,129,"Biography, Crime, Drama",2,124,144,45055776
Birdman or (The Unexpected Virtue of Ignorance),119,"Comedy, Drama",4,192,294,42340598
12 Years a Slave,134,"Biography, Drama, History",3,244,337,56671993
Argo,120,"Biography, Drama, History",3,96,156,136025503
The Artist,100,"Comedy, Drama, Romance",5,162,204,44671682
The King's Speech,118,"Biography, Drama, History",4,109,206,138797449
